調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,C120120_納税義務者数（所得割）【人】,F2201_第1次産業就業者数【人】,F2211_第2次産業就業者数【人】,F2221_第3次産業就業者数【人】
2015100000,2015年度,1100,北海道 札幌市,,2535322425,834364,3790,118503,645868
2015100000,2015年度,1202,北海道 函館市,,295671670,108641,4137,19490,86480
2015100000,2015年度,1203,北海道 小樽市,,119533070,48037,710,8909,39508
2015100000,2015年度,1204,北海道 旭川市,,380049303,139822,4069,26028,116152
2015100000,2015年度,1205,北海道 室蘭市,,102184822,36100,351,9384,26169
2015100000,2015年度,1206,北海道 釧路市,,194546841,72497,1679,13682,54775
2015100000,2015年度,1207,北海道 帯広市,,211286467,73918,3923,14264,56126
2015100000,2015年度,1208,北海道 北見市,,140845591,51030,3903,9632,38336
2015100000,2015年度,1209,北海道 夕張市,,7377411,3427,582,815,2315
2015100000,2015年度,1210,北海道 岩見沢市,,88659463,33804,3308,6710,26484
2015100000,2015年度,1211,北海道 網走市,,49028049,16647,2230,2875,12170
2015100000,2015年度,1212,北海道 留萌市,,26011985,9640,358,2200,8213
2015100000,2015年度,1213,北海道 苫小牧市,,207737625,74461,1273,19105,50802
2015100000,2015年度,1214,北海道 稚内市,,48370984,16366,1287,3390,11267
2015100000,2015年度,1215,北海道 美唄市,,21223629,8641,1436,2097,6276
2015100000,2015年度,1216,北海道 芦別市,,12220693,5397,642,1691,3778
2015100000,2015年度,1217,北海道 江別市,,131552749,48201,1439,9540,39322
2015100000,2015年度,1218,北海道 赤平市,,9187761,4044,207,1219,2994
2015100000,2015年度,1219,北海道 紋別市,,28995631,10082,1017,2877,6940
2015100000,2015年度,1220,北海道 士別市,,21016615,7652,1730,1655,5805
2015100000,2015年度,1221,北海道 名寄市,,33684347,12042,1666,1612,10652
2015100000,2015年度,1222,北海道 三笠市,,7328284,3276,310,667,2413
2015100000,2015年度,1223,北海道 根室市,,32655021,11370,2768,3162,7751
2015100000,2015年度,1224,北海道 千歳市,,122728540,42816,1303,8253,34047
2015100000,2015年度,1225,北海道 滝川市,,44218294,16837,926,3385,13819
2015100000,2015年度,1226,北海道 砂川市,,18825141,7061,463,1755,5339
2015100000,2015年度,1227,北海道 歌志内市,,2832159,1334,34,329,940
2015100000,2015年度,1228,北海道 深川市,,21509901,8411,1743,1267,6885
2015100000,2015年度,1229,北海道 富良野市,,25462082,9413,2401,1586,7584
2015100000,2015年度,1230,北海道 登別市,,52387142,20641,258,5055,15380
2015100000,2015年度,1231,北海道 恵庭市,,79994619,28950,1212,6550,22605
2015100000,2015年度,1233,北海道 伊達市,,37235890,14171,1655,2895,11421
2015100000,2015年度,1234,北海道 北広島市,,68025106,24406,559,4482,20189
2015100000,2015年度,1235,北海道 石狩市,,58499547,23001,1258,5889,17653
2015100000,2015年度,1236,北海道 北斗市,,46480246,18718,1699,4840,14515
2015100000,2015年度,1303,北海道 当別町,,17496138,6626,1258,1500,5220
2015100000,2015年度,1304,北海道 新篠津村,,3015669,1245,674,110,651
2015100000,2015年度,1331,北海道 松前町,,6794569,2441,362,1088,1799
2015100000,2015年度,1332,北海道 福島町,,3766918,1372,271,729,882
2015100000,2015年度,1333,北海道 知内町,,4232260,1766,636,698,1088
2015100000,2015年度,1334,北海道 木古内町,,3932678,1618,211,589,1257
2015100000,2015年度,1337,北海道 七飯町,,27456363,11220,1256,2443,8354
2015100000,2015年度,1343,北海道 鹿部町,,4107024,1630,790,463,761
2015100000,2015年度,1345,北海道 森町,,15908279,6264,1825,2266,3711
2015100000,2015年度,1346,北海道 八雲町,,20591658,7256,1773,1625,5132
2015100000,2015年度,1347,北海道 長万部町,,6465550,2076,515,571,1516
2015100000,2015年度,1361,北海道 江差町,,8858268,3156,403,585,2833
2015100000,2015年度,1362,北海道 上ノ国町,,4635818,1810,369,608,1170
2015100000,2015年度,1363,北海道 厚沢部町,,3916612,1445,677,300,1048
2015100000,2015年度,1364,北海道 乙部町,,3416527,1377,275,489,993
2015100000,2015年度,1367,北海道 奥尻町,,3386842,1148,151,171,1020
2015100000,2015年度,1370,北海道 今金町,,5408460,2094,820,386,1592
2015100000,2015年度,1371,北海道 せたな町,,7263097,2884,1073,627,2276
2015100000,2015年度,1391,北海道 島牧村,,1353728,492,176,98,422
2015100000,2015年度,1392,北海道 寿都町,,3147956,1147,137,307,942
2015100000,2015年度,1393,北海道 黒松内町,,2731981,1095,192,157,980
2015100000,2015年度,1394,北海道 蘭越町,,4586408,1845,684,322,1355
2015100000,2015年度,1395,北海道 ニセコ町,,4893075,1988,480,226,1786
2015100000,2015年度,1396,北海道 真狩村,,2373621,874,488,61,574
2015100000,2015年度,1397,北海道 留寿都村,,2202491,855,362,85,760
2015100000,2015年度,1398,北海道 喜茂別町,,1919391,845,275,135,781
2015100000,2015年度,1399,北海道 京極町,,3398674,1309,337,297,907
2015100000,2015年度,1400,北海道 倶知安町,,20051541,6790,709,925,5957
2015100000,2015年度,1401,北海道 共和町,,7290883,2549,918,767,1802
2015100000,2015年度,1402,北海道 岩内町,,13703304,5160,217,2040,3946
2015100000,2015年度,1403,北海道 泊村,,1735010,644,76,137,671
